FSR
268
288
293
304
304
313
315
318
324
1897
1939
1999
2040
2048
2057
2059
2067
2084
3941
3965
3985
4005
4016
4023
4042
4043
4064
7274
7275
7282
7282
7285
7333
7353
7436
7511
10179
10222
10237
10259
10301
10321
10378
10391
10440
13110
13126
13127
13131
13166
13170
13213
13241
13273
