Brightness,Reference_Time,Input_Force,FSR_Force,Pressure,FSR_mv,FSR
134.2312312,135341,0,0.050557666,0.070030967,13.29345703,264
134.2782783,135344,0,0.052865461,0.073227656,13.89770508,276
135.8808809,135342,0,0.055751399,0.07722517,14.65301514,291
135.9594595,135337,0,0.05613629,0.077758311,14.75372314,293
136.3863864,135336,0,0.056328745,0.078024893,14.80407715,294
136.6776777,135343,0,0.056713673,0.078558083,14.90478516,296
137.0377377,135338,0,0.058253618,0.080691169,15.30761719,304
137.3817818,135339,0,0.062105134,0.086026174,16.31469727,324
137.9622623,135340,0,0.063453723,0.087894199,16.66717529,331
141.0133133,135351,0.49,0.371598265,0.514726803,95.26977539,1892
141.5545546,135346,0.49,0.380908205,0.527622653,97.58605957,1938
141.983984,135354,0.49,0.386176304,0.534919867,98.89526367,1964
142.9029029,135350,0.49,0.395101373,0.547282605,101.1108398,2008
143.0766767,135347,0.49,0.403835552,0.559380928,103.276062,2051
143.4974975,135352,0.49,0.406071777,0.562478481,103.8299561,2062
143.7157157,135349,0.49,0.408308778,0.565577108,104.3838501,2073
144.8708709,135348,0.49,0.408512181,0.565858855,104.4342041,2074
144.985986,135353,0.49,0.409936175,0.56783133,104.7866821,2081
178.6506507,135356,0.98,0.799564907,1.107533395,198.3947754,3940
186.3023023,135358,0.98,0.80410069,1.113816227,199.4522095,3961
188.8018018,135364,0.98,0.816211252,1.130591415,202.2720337,4017
192.2202202,135359,0.98,0.817293624,1.132090685,202.5238037,4022
192.8678679,135360,0.98,0.818159649,1.133290276,202.7252197,4026
193.4184184,135362,0.98,0.818592703,1.13389013,202.8259277,4028
193.9322322,135363,0.98,0.820975007,1.137190026,203.3798218,4039
194.5975976,135361,0.98,0.826175719,1.144393897,204.5883179,4063
194.9469469,135357,0.98,0.827910193,1.146796438,204.9911499,4071
205.4034034,135409,1.96,1.555556509,2.154710352,365.2175903,7253
205.4504505,135414,1.96,1.557003621,2.156714848,365.5197144,7259
205.7327327,135410,1.96,1.568832864,2.173100362,367.9870605,7308
206.7337337,135413,1.96,1.575843228,2.182810908,369.4473267,7337
207.7517518,135407,1.96,1.586250774,2.19722713,371.6125488,7380
208.9139139,135411,1.96,1.586977456,2.198233709,371.7636108,7383
208.9499499,135408,1.96,1.593036058,2.206625903,373.0224609,7408
209.8578579,135412,1.96,1.594733401,2.208977012,373.374939,7415
209.1691692,135406,1.96,1.612215542,2.233192751,377.0004272,7487
213.5195195,135421,2.94,2.299024478,3.184539948,512.6541138,10181
214.5195195,135421,2.94,2.304105826,3.191578479,513.6108398,10200
214.5935936,135423,2.94,2.320175121,3.213837186,516.6320801,10260
215.5935936,135423,2.94,2.352149319,3.258126889,522.6242065,10379
216.5005005,135417,2.94,2.35268788,3.258872887,522.7249146,10381
216.9005005,135417,2.94,2.353226479,3.259618938,522.8256226,10383
217.3673674,135419,2.94,2.353495793,3.259991985,522.8759766,10384
218.3673674,135419,2.94,2.355111885,3.262230546,523.1781006,10390
219.4314314,135424,2.94,2.35565066,3.262976841,523.2788086,10392
220.4314314,135424,2.94,2.356189474,3.263723191,523.3795166,10394
221.7237237,135418,2.94,2.35726722,3.265216052,523.5809326,10398
221.7237237,135418,2.94,2.357806152,3.265962564,523.6816406,10400
222.4274274,135422,2.94,2.359692721,3.268575783,524.0341187,10407
224.4274274,135422,2.94,2.360231828,3.269322539,524.1348267,10409
225.1301301,135416,2.94,2.361579769,3.271189665,524.3865967,10414
225.4301301,135416,2.94,2.362927953,3.27305713,524.6383667,10419
225.511512,135420,2.94,2.36319762,3.273430664,524.6887207,10420
225.8511512,135420,2.94,2.364276383,3.274924934,524.8901367,10424
