Brightness,Reference_Time,Input_Force,FSR_Force,Pressure,FSR_mv,FSR
135.2616893,204464,0,0.052096102,0.072161962,13.69628906,272
135.6892911,204461,0,0.054596864,0.075625944,14.35089111,285
136.0248869,204459,0,0.055174105,0.07642552,14.50195313,288
136.4944193,204457,0,0.055751399,0.07722517,14.65301514,291
137.3076923,204462,0,0.057098624,0.079091306,15.00549316,298
137.8763198,204458,0,0.058061104,0.080424505,15.25726318,303
138.081448,204463,0,0.058253618,0.080691169,15.30761719,304
138.1975867,204456,0,0.05960138,0.082558049,15.66009521,311
139.086727,204460,0,0.064417178,0.089228748,16.91894531,336
141.3084465,205335,0.49,0.375644411,0.520331403,96.27685547,1912
141.9276018,205337,0.49,0.379490606,0.525659038,97.23358154,1931
142.0241327,205341,0.49,0.385365547,0.53379683,98.69384766,1960
142.5286576,205336,0.49,0.397740691,0.55093851,101.7654419,2021
142.9781297,205339,0.49,0.402209692,0.557128837,102.87323,2043
143.6644042,205338,0.49,0.403632297,0.559099386,103.225708,2050
144.6953243,205343,0.49,0.406681792,0.563323455,103.9810181,2065
145.0010558,205340,0.49,0.409122426,0.566704148,104.5852661,2077
145.2609351,205342,0.49,0.411767487,0.570368008,105.2398682,2090
189.5437406,205931,0.98,0.800644575,1.109028919,198.6465454,3945
191.6862745,205924,0.98,0.805613306,1.115911457,199.8046875,3968
191.8069382,205929,0.98,0.814696226,1.128492846,201.9195557,4010
192.081448,205928,0.98,0.817726622,1.132690461,202.6245117,4024
192.3995475,205923,0.98,0.818159649,1.133290276,202.7252197,4026
192.89819,205926,0.98,0.823574856,1.140791259,203.9840698,4051
193.2028658,205925,0.98,0.823791556,1.141091425,204.0344238,4052
193.6297134,205927,0.98,0.824224976,1.141691786,204.1351318,4054
193.5045249,205930,0.98,0.825525408,1.143493106,204.4372559,4060
205.181448,210513,1.96,1.556280027,2.155712549,365.3686523,7256
205.9147813,210518,1.96,1.562553644,2.164402575,366.6778564,7282
206.0846154,210512,1.96,1.563036462,2.16507136,366.7785645,7284
206.2518854,210515,1.96,1.568349648,2.172431026,367.8863525,7306
206.4713424,210514,1.96,1.589157953,2.201254067,372.2167969,7392
207.8906486,210517,1.96,1.594005918,2.207969325,373.223877,7412
208.2517345,210516,1.96,1.604197514,2.222086418,375.3387451,7454
209.1772247,210511,1.96,1.614890244,2.236897668,377.5543213,7498
209.9901961,210510,1.96,1.619755938,2.243637481,378.5614014,7518
215.060181,210614,2.94,2.299826565,3.185650974,512.8051758,10184
215.2337858,210616,2.94,2.309458385,3.198992683,514.6179199,10220
215.6523379,210610,2.94,2.316690481,3.209010367,515.977478,10247
218.6085973,210612,2.94,2.332787123,3.231306953,518.9987183,10307
220.392911,210613,2.94,2.338966779,3.239866828,520.1568604,10330
221.0437406,210617,2.94,2.351341552,3.257007994,522.4731445,10376
223.6108597,210615,2.94,2.352149319,3.258126889,522.6242065,10379
223.8205128,210611,2.94,2.362927953,3.27305713,524.6383667,10419
224.5987934,210609,2.94,2.369672548,3.282399541,525.8972168,10444
244.1879336,210632,3.92,3.120173515,4.321971035,659.1842651,13091
244.724736,210636,3.92,3.12047136,4.322383601,659.2346191,13092
245.2865762,210635,3.92,3.128815629,4.333941832,660.6445313,13120
245.6343891,210631,3.92,3.128517466,4.333528826,660.5941772,13119
245.7820513,210637,3.92,3.128815629,4.333941832,660.6445313,13120
248.8924585,210634,3.92,3.141647414,4.351716037,662.8097534,13163
248.9067873,210638,3.92,3.154799442,4.369933833,665.0253296,13207
250.0835596,210633,3.92,3.176368716,4.399810947,668.6508179,13279
250.2321267,210639,3.92,3.17336943,4.395656425,668.1472778,13269
