Brightness,Reference_Time,Input_Force,FSR_Force,Pressure,FSR_mv,FSR
130.3323323,135237,0,0.051134536,0.070830029,13.44451904,267
130.6826827,135239,0,0.051519144,0.071362778,13.54522705,269
131.0534535,135243,0,0.052096102,0.072161962,13.69628906,272
131.6906907,135238,0,0.054404463,0.075359435,14.30053711,284
132.0164164,135244,0,0.055943842,0.077491736,14.70336914,292
132.3148148,135241,0,0.060179081,0.083358263,15.81115723,314
132.4424424,135242,0,0.060564244,0.08389178,15.91186523,316
133.028028,135240,0,0.060949431,0.084425329,16.01257324,318
133.3553554,135236,0,0.063453723,0.087894199,16.66717529,331
133.065966,135253,0.49,0.371193791,0.514166537,95.16906738,1890
134.4084084,135246,0.49,0.380503145,0.527061576,97.48535156,1936
135.0883884,135251,0.49,0.389014758,0.538851608,99.60021973,1978
135.4274274,135249,0.49,0.397537628,0.550657233,101.7150879,2020
136.0706707,135252,0.49,0.399974805,0.554033137,102.3193359,2032
136.6148148,135248,0.49,0.401803292,0.556565902,102.772522,2041
141.2572573,135247,0.49,0.404242081,0.55994404,103.37677,2053
141.6016016,135250,0.49,0.408512181,0.565858855,104.4342041,2074
141.9203203,135254,0.49,0.410343089,0.568394974,104.8873901,2083
186.0156156,135264,0.98,0.799780826,1.107832481,198.4451294,3941
186.2242242,135260,0.98,0.804316757,1.114115516,199.5025635,3962
186.8738739,135262,0.98,0.808855783,1.120402839,200.5599976,3983
187.0556557,135256,0.98,0.808855783,1.120402839,200.5599976,3983
187.3813814,135263,0.98,0.812748842,1.125795388,201.4663696,4001
188.1011011,135257,0.98,0.817293624,1.132090685,202.5238037,4022
188.8258258,135259,0.98,0.817726622,1.132690461,202.6245117,4024
189.4872873,135261,0.98,0.819892036,1.135689927,203.1280518,4034
189.8758759,135258,0.98,0.820541797,1.136589957,203.2791138,4037
200.2085085,135307,1.96,1.559657433,2.16039083,366.0736084,7270
200.2672673,135314,1.96,1.564726586,2.167412469,367.1310425,7291
200.4744745,135306,1.96,1.582618487,2.192195795,370.8572388,7365
201.3103103,135309,1.96,1.588431045,2.200247177,372.0657349,7389
201.3633634,135312,1.96,1.588915642,2.200918426,372.1664429,7391
202.2272272,135313,1.96,1.591096739,2.203939616,372.6196289,7400
202.8098098,135310,1.96,1.600313264,2.216706071,374.5330811,7438
202.976977,135308,1.96,1.610027903,2.230162499,376.5472412,7478
203.6766767,135311,1.96,1.616592856,2.239256074,377.9067993,7505
213.8329329,135322,2.94,2.299024478,3.184539948,512.6541138,10181
214.2382382,135320,2.94,2.3164225,3.208639167,515.927124,10246
214.8318318,135324,2.94,2.31910275,3.212351769,516.4306641,10256
215.955956,135317,2.94,2.336816749,3.236888672,519.7540283,10322
216.4964965,135319,2.94,2.342192992,3.244335682,520.7611084,10342
216.5095095,135323,2.94,2.342461906,3.244708174,520.8114624,10343
216.9079079,135321,2.94,2.34568964,3.249179134,521.4157104,10355
217.019019,135316,2.94,2.358075633,3.266335841,523.7319946,10401
217.6156156,135318,2.94,2.368862873,3.281278004,525.7461548,10441
225.7317317,135327,3.92,3.127026821,4.331464029,660.3424072,13114
225.8098098,135330,3.92,3.133886143,4.340965357,661.5005493,13137
225.9145145,135334,3.92,3.136273406,4.344272122,661.9033813,13145
226.5255255,135326,3.92,3.138064331,4.346752858,662.2055054,13151
226.9489489,135328,3.92,3.157791624,4.374078515,665.5288696,13217
227.3193193,135332,3.92,3.161383754,4.379054225,666.1331177,13229
227.958959,135329,3.92,3.165576655,4.384862106,666.8380737,13243
228.7817818,135331,3.92,3.17546881,4.398564423,668.4997559,13276
228.9229229,135333,3.92,3.176068736,4.399395423,668.6004639,13278
